S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 h 	 f1 	 f2 (first line is initial values + initially vaccianted)
13648536.262958 	 9194.446578 	 4442.055599 	 8874.225586 	 2413.441089 	 13598.101449 	 18.320942 	 17.702564 	 33291.903548 	 44.854719 	 43.340761 	 4.730832 	 0.000000 	 0.000000 	 0.000000 	 1522965.425463 	 11246.362473 	 15308.825439 	 0.000000 	 51603.588249 	 25358.882156
13648536.262958 	 9194.446578 	 4442.055599 	 8874.225586 	 2413.441089 	 13598.101449 	 18.320942 	 17.702564 	 33291.903548 	 44.854719 	 43.340761 	 4.730832 	 0.000000 	 0.000000 	 0.000000 	 1522965.425463 	 11246.362473 	 15308.825439 	 0.000000 	 1830.370983 	 703.802129
13647636.494431 	 9257.480650 	 4476.332022 	 8949.732088 	 2407.714807 	 13489.037660 	 17.899573 	 17.020135 	 33305.796606 	 44.865217 	 43.342672 	 4.636731 	 0.000078 	 0.000048 	 0.018546 	 1523594.738593 	 11333.274711 	 15421.615433 	 0.000000 	 1830.370983 	 703.802129
13646736.570221 	 9320.541818 	 4510.606944 	 9025.219459 	 2401.958851 	 13385.463351 	 17.501255 	 16.372445 	 33314.153146 	 44.855236 	 43.311639 	 4.546351 	 0.000153 	 0.000093 	 0.036994 	 1524224.254114 	 11420.172919 	 15534.435009 	 0.000000 	 1830.370983 	 703.802129
13645836.562501 	 9383.629556 	 4544.880385 	 9100.687744 	 2396.173812 	 13287.040380 	 17.124804 	 15.757780 	 33317.346058 	 44.826295 	 43.249992 	 4.459530 	 0.000225 	 0.000137 	 0.055346 	 1524853.865218 	 11507.057277 	 15647.282960 	 0.000000 	 1830.370983 	 703.802129
13644936.538645 	 9446.743347 	 4579.152369 	 9176.136987 	 2390.360259 	 13193.451772 	 16.769097 	 15.174505 	 33315.724642 	 44.779821 	 43.159931 	 4.376116 	 0.000294 	 0.000179 	 0.073604 	 1525483.472314 	 11593.927980 	 15760.158136 	 0.000000 	 1830.370983 	 703.802129
13644036.025077 	 9509.882316 	 4613.422735 	 9251.566868 	 2384.518657 	 13104.936545 	 16.433538 	 14.621253 	 33309.616758 	 44.717165 	 43.043533 	 4.295962 	 0.000360 	 0.000220 	 0.091769 	 1526112.982566 	 11680.785233 	 15873.059447 	 0.000000 	 1830.370983 	 703.802129
13643125.423486 	 9573.039177 	 4647.688208 	 9326.970948 	 2378.647874 	 13030.590925 	 16.125305 	 14.099728 	 33299.615650 	 44.639844 	 42.902858 	 4.218928 	 0.000423 	 0.000258 	 0.109844 	 1526742.311488 	 11767.629200 	 15985.985856 	 0.000001 	 1830.370983 	 703.802129
13642214.975595 	 9636.220496 	 4681.952226 	 9402.356225 	 2372.750232 	 12959.739787 	 15.834390 	 13.605022 	 33286.219748 	 44.549242 	 42.739829 	 4.144882 	 0.000484 	 0.000295 	 0.127830 	 1527371.387267 	 11854.460067 	 16098.936381 	 0.000002 	 1830.370983 	 703.802129
13641304.724813 	 9699.425801 	 4716.214806 	 9477.722732 	 2366.826243 	 12892.170338 	 15.559910 	 13.135813 	 33269.663922 	 44.446455 	 42.556185 	 4.073699 	 0.000542 	 0.000330 	 0.145730 	 1528000.144510 	 11941.278080 	 16211.910091 	 0.000003 	 1830.370983 	 703.802129
