S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 f1 	 f2 (first line is initial values + initially vaccianted)
18050741.580294 	 70342.203679 	 33983.989903 	 67919.680082 	 18471.487468 	 18053.951614 	 140.709426 	 135.960134 	 44201.053953 	 344.495491 	 332.867913 	 37.846656 	 0.000000 	 0.000000 	 0.000000 	 2022013.455672 	 86101.432374 	 117179.285340 	 394952.683041 	 194086.475115
18050741.580294 	 70342.203679 	 33983.989903 	 67919.680082 	 18471.487468 	 18053.951614 	 140.709426 	 135.960134 	 44201.053953 	 344.495491 	 332.867913 	 37.846656 	 0.000000 	 0.000000 	 0.000000 	 2022013.455672 	 86101.432374 	 117179.285340 	 14008.908203 	 5386.612607
18047429.215377 	 70822.820817 	 34245.749401 	 68500.168075 	 18428.443400 	 17946.236316 	 137.644673 	 130.784484 	 44220.420902 	 344.580342 	 332.884245 	 38.130887 	 0.008715 	 0.005326 	 0.183897 	 2022614.916564 	 86765.571022 	 118042.235556 	 14008.908203 	 5386.612607
18044116.836908 	 71303.646603 	 34507.496861 	 69080.507417 	 18385.170059 	 17843.932676 	 134.749412 	 125.872941 	 44234.207531 	 344.516130 	 332.650706 	 38.404635 	 0.017089 	 0.010441 	 0.368296 	 2023216.596240 	 87429.601395 	 118905.414658 	 14008.908203 	 5386.612607
18040804.553395 	 71784.677016 	 34769.232478 	 69660.698484 	 18341.671990 	 17746.670614 	 132.014862 	 121.212427 	 44242.782936 	 344.313978 	 332.184993 	 38.668094 	 0.025131 	 0.015350 	 0.553164 	 2023818.386611 	 88093.525071 	 119768.813406 	 14008.908203 	 5386.612607
18037492.466089 	 72265.908133 	 35030.956444 	 70240.741638 	 18297.953611 	 17654.105175 	 129.432697 	 116.790514 	 44246.491212 	 343.984363 	 331.503818 	 38.921467 	 0.032851 	 0.020057 	 0.738470 	 2024420.186723 	 88757.343721 	 120632.423017 	 14008.908203 	 5386.612607
18034179.924035 	 72747.333124 	 35292.667480 	 70820.634304 	 18254.018463 	 17566.662260 	 126.998783 	 112.596844 	 44245.654091 	 343.537160 	 330.622964 	 39.164960 	 0.040259 	 0.024567 	 0.924184 	 2025021.902276 	 89421.059100 	 121496.235146 	 14008.908203 	 5386.612607
18030853.598368 	 73228.893610 	 35554.339275 	 71400.324643 	 18209.857282 	 17497.109681 	 124.771500 	 108.645767 	 44240.970400 	 342.983676 	 329.558113 	 39.398792 	 0.047363 	 0.028885 	 1.110277 	 2025623.447886 	 90084.672611 	 122360.241871 	 14008.908203 	 5386.612607
18027527.727615 	 73710.642591 	 35815.999492 	 71979.868952 	 18165.488577 	 17430.649798 	 122.670949 	 104.898410 	 44233.013554 	 342.334155 	 328.323909 	 39.623201 	 0.054174 	 0.033014 	 1.296725 	 2026224.753349 	 90748.185855 	 123224.435680 	 14008.908203 	 5386.612607
18024202.377996 	 74192.576471 	 36077.648272 	 72559.267501 	 18120.916298 	 17367.066920 	 120.690611 	 101.344701 	 44221.996044 	 341.596608 	 326.933539 	 39.838431 	 0.060700 	 0.036961 	 1.483501 	 2026825.755141 	 91411.600867 	 124088.809438 	 14008.908203 	 5386.612607
18020877.611305 	 74674.691745 	 36339.285751 	 73138.520548 	 18076.144287 	 17306.160194 	 118.824300 	 97.975069 	 44208.115850 	 340.778576 	 325.399441 	 40.044722 	 0.066950 	 0.040730 	 1.670583 	 2027426.393849 	 92074.919732 	 124953.356367 	 14008.908203 	 5386.612607
